TRADER JOE'S	TRADER JOE'S, SOUP & OYSTER CRACKERS	60	
WESTMINSTER BAKERS CO.	OYSTER & SOUP CRACKERS	60	
Raley's	BAKED OYSTER CRACKERS	60	
Topco Associates, Inc.	OYSTER CRACKERS	60	
CHESTNUT HILL	ORIGINAL SOUP & OYSTER CRACKERS, ORIGINAL	60	
Westminster Cracker Company Inc.	OYSTER CRACKERS	80	
Whole Foods Market, Inc.	365 EVERYDAY VALUE, OYSTER CRACKERS	80	
Wegmans Food Markets, Inc.	SOUP & SNACK OYSTER CRACKERS	80	
SAVORITZ	SOUP & OYSTER CRACKERS	86	
VISTA	SOUP & OYSTER CRACKERS	100	
Topco Associates, Inc.	FOOD CLUB, OYSTER CRACKERS	100	
Tops Markets, LLC	OYSTER CRACKERS	100	
Hy-Vee, Inc.	SOUP & OYSTER CRACKERS	100	
Wal-Mart Stores, Inc.	GREAT VALUE, SOUP & OYSTER CRACKERS	100	
Bruno's Supermarkets, Inc.	OYSTER CRACKERS	100	
Sears, Roebuck and Co.	OYSTER CRACKERS	100	
Topco Associates, Inc.	OYSTER CRACKERS	100	
Brookshire Grocery Company	OYSTER CRACKERS	100	
WEIS QUALITY	ORIGINAL OYSTER CRACKERS	100	
Giant Eagle, Inc.	OYSTER CRACKERS	100	
STATER BROS.	OYSTER CRACKERS	100	
Lowe's Food Stores, Inc.	OYSTER CRACKERS	100	
Kingston Marketing Co	OYSTER CRACKERS	100	
Winn-Dixie Stores, Inc.	OYSTER CRACKERS, SOUP & CHILI	100	
Nash Finch Company	SOUP & CHOWDER OYSTER CRACKERS	100	
FIRST STREET	OYSTER CRACKERS, OYSTER	100	
Tops Markets, LLC	ORIGINAL OYSTER CRACKERS	100	
The Kroger Co.	KROGER, BAKED OYSTER CRACKERS, ORIGINAL	115	
Dollar Only Wholesale, LLC	GLOBAL BRANDS, SOUP & OYSTER CRACKERS, SOUP & OYSTER CRACKERS	120	
Target Stores	SOUP & OYSTER CRACKERS	140	
Dixie Fry, LLC	ORIGINAL TRENTON CRACKERS, ARTISAN STYLE OYSTER & SOUP CRACKERS	142	
Panorama Foods Inc.	ORIGINAL TRENTON CRACKERS, OYSTER & SOUP CRACKERS	142	
WICKED MINIS	GARLIC PARMESAN SEASONED OYSTER CRACKERS	145	
Kellogg Company US	Keebler Zesta Saltines Crackers Soup & Oyster 160oz 1ct	153	
Kellogg Company US	Keebler Zesta Saltines Crackers Oyster .5oz	153	
Kellogg Company US	Keebler Zesta Saltines Crackers Oyster .5oz	153	
Kellogg Company US	Keebler Zesta Saltines Crackers Large Oyster .5oz	153	
The Kroger Co.	SEASONED OYSTER CRACKERS	155	
Supervalu, Inc.	OYSTER CRACKERS	155	
Supervalu, Inc.	OYSTER CRACKERS	155	
Mondelez Int. US (0074819091009)	NABISCO PREMIUM CRACKERS OYSTER 1X9 OZ	160	
Kellogg Company US	Sunshine Krispy Crackers Large Oyster .5oz	165	
POTTER'S	OYSTER CRACKERS	165	
Schnuck Markets, Inc.	SCHNUCKS, OYSTER, CRACKERS	170	
Weis Markets, Inc.	ORIGINAL OYSTER CRACKERS	170	
ROUNDY'S	ROUNDY'S, OYSTER CRACKERS	170	
Wakefern Food Corporation	SHOPRITE, OYSTER CRACKERS, SOUP AND CHILI	170	
The Kroger Co.	KROGER, OYSTER CRACKERS	170	
White Rose Food Corp.	OYSTER CRACKERS	170	
Bremner Food Group, Inc.	HARVEST, OYSTER CRACKERS	170	
The Federated Group, Inc.	OYSTER CRACKERS	170	
Iga, Inc.	SOUP & OYSTER CRACKERS	170	
S. M. Flickinger Co., Inc.	OYSTER CRACKERS	170	
Key Food Stores Co-Operative, Inc.	KEY FOOD, OYSTER CRACKERS	170	
Wortz Company	SOUP & OYSTER CRACKERS	170	
Safeway, Inc.	OYSTER & SOUP CRACKERS	170	
Topco Associates, Inc.	OYSTER CRACKERS	170	
Nabisco Biscuit Company	SOUP & OYSTER CRACKERS	170	
SE GROCERS	OYSTER CRACKERS	170	
SHURFINE	OYSTER CRACKERS, OYSTER	170	
Schnuck Markets, Inc.	OYSTER CRACKERS, OYSTER	170	
Big Y Foods, Inc.	OYSTER CRACKERS	170	
Hy-Vee, Inc.	SOUP & OYSTER CRACKERS	170	
Target Stores	SOUP & OYSTER CRACKERS, SOUP & OYSTER	170	
VISTA	SOUP & OYSTER CRACKERS, SOUP & OYSTER	170	
THAT'S SMART!	OYSTER CRACKERS	170	
Supervalu, Inc.	SOUP & OYSTER CRACKERS, SOUP & OYSTER	170	
Harris-Teeter Inc.	SOUP & OYSTER CRACKERS	170	
CRUNCH CHRONICLES	BAKED OYSTER CRACKERS	170	
NEWBURY MILLS	SOUP & OYSTER CRACKERS, SOUP & OYSTER	170	
Kellogg Company US	Sunshine Krispy Crackers Soup & Oyster 11oz	230	